position,candidate,party,district
SENATOR,"ABALOS, BENHUR",PFP,
SENATOR,"CAYETANO, PIA",NP,
SENATOR,"LAPID, LITO",NPC,
SENATOR,"QUERUBIN, ARIEL PORFIRIO",NP,
SENATOR,"ADONIS, JEROME",MKBYN,
SENATOR,"D'ANGELO, DAVID",BUNYOG,
SENATOR,"LEE, MANOY WILBERT",AKSYON,
SENATOR,"QUIBOLOY, APOLLO",IND,
SENATOR,"AMAD, WILSON",IND,
SENATOR,"DE ALBAN,ATTORNEY ANGELO",IND,
SENATOR,"LIDASAN, AMIRAH",MKBYN,
SENATOR,"RAMOS, DANILO",MKBYN,
SENATOR,"ANDAMO, NARS ALYN",MKBYN,
SENATOR,"DE GUZMAN, KA LEODY",PLM,
SENATOR,"MARCOLETA, RODANTE",IND,
SENATOR,"REVILLAME, WILLIE WIL",IND,
SENATOR,"AQUINO, BAM",KNP,
SENATOR,"DELA ROSA, BATO",PDPLBN,
SENATOR,"MARCOS, IMEE R.",NP,
SENATOR,"RODRIGUEZ, ATTY. VIC",IND,
SENATOR,"ARAMBULO, RONNEL",MKBYN,
SENATOR,"DORINGO, NANAY MIMI",MKBYN,
SENATOR,"MARQUEZ, NORMAN",IND,
SENATOR,"SAHIDULLA, NUR-ANA",IND,
SENATOR,"ARELLANO, ERNESTO",KTPNAN,
SENATOR,"ESCOBAL, ARNEL",PM,
SENATOR,"MARTINEZ, ERIC",IND,
SENATOR,"SALVADOR, PHILLIP IPE",PDPLBN,
SENATOR,"BALLON, ROBERTO",IND,
SENATOR,"ESPIRITU, LUKE",PLM,
SENATOR,"MATA, DOC MARITES",IND,
SENATOR,"SOTTO, TITO",NPC,
SENATOR,"BINAY, ABBY",NPC,
SENATOR,"FLORANDA, MODY PISTON",MKBYN,
SENATOR,"MATULA, ATTY. SONNY",WPP,
SENATOR,"TAPADO, MICHAEL BONGBONG",PM,
SENATOR,"BONDOC, JIMMY",PDPLBN,
SENATOR,"GAMBOA, MARC LOUIE",IND,
SENATOR,"MAZA, LIZA",MKBYN,
SENATOR,"TOLENTINO, FRANCIS TOL",PFP,
SENATOR,"BONG REVILLA,RAMON, JR.",LAKAS,
SENATOR,"GO, BONG GO",PDPLBN,
SENATOR,"MENDOZA, HEIDI",IND,
SENATOR,"TULFO, BEN BITAG",IND,
SENATOR,"BOSITA, COLONEL",IND,
SENATOR,"GONZALES, NORBERTO",PDSP,
SENATOR,"MONTEMAYOR, JOEY",IND,
SENATOR,"TULFO, ERWIN",LAKAS,
SENATOR,"BROSAS, ARLENE",MKBYN,
SENATOR,"HINLO, JAYVEE",PDPLBN,
SENATOR,"MUSTAPHA, SUBAIR",WPP,
SENATOR,"VALBUENA, MAR MANIBELA",IND,
SENATOR,"CABONEGRO, ROY",DPP,
SENATOR,"HONASAN, GRINGO",RP,
SENATOR,"OLIVAR, JOSE JESSIE",IND,
SENATOR,"VERCELES, LEANDRO",IND,
SENATOR,"CAPUYAN, ALLEN",PPP,
SENATOR,"JOSE, RELLY JR.",KBL,
SENATOR,"ONG, DOC WILLIE",AKSYON,
SENATOR,"VILLAR, CAMILLE",NP,
SENATOR,"CASIÑO, TEDDY",MKBYN,
SENATOR,"LACSON, PING",IND,
SENATOR,"PACQUIAO, MANNY PACMAN",PFP,
SENATOR,"CASTRO, TEACHER FRANCE",MKBYN,
SENATOR,"LAMBINO, RAUL",PDPLBN,
SENATOR,"PANGILINAN, KIKO",LP,
PARTY LIST,4PS,,
PARTY LIST,BABAE AKO,,
PARTY LIST,BOSES PARTY-LIST,,
PARTY LIST,COOP-NATCCO,,
PARTY LIST,PPP,,
PARTY LIST,ARISE,,
PARTY LIST,ARANGKADA PILIPINO,,
PARTY LIST,KABAYAN,,
PARTY LIST,FPJ PANDAY BAYANIHAN,,
PARTY LIST,MAGDALO,,
PARTY LIST,AANGAT TAYO,,
PARTY LIST,1MUNTI,,
PARTY LIST,KABATAAN,,
PARTY LIST,APEC,,
PARTY LIST,OFW,,
PARTY LIST,PINOY WORKERS,,
PARTY LIST,DUTERTE YOUTH,,
PARTY LIST,MAGBUBUKID,,
PARTY LIST,BIDA KATAGUMPAY,,
PARTY LIST,API PARTY,,
PARTY LIST,ML,,
PARTY LIST,SSS-GSIS PENSYONADO,,
PARTY LIST,KAMANGGAGAWA,,
PARTY LIST,AKO BISAYA,,
PARTY LIST,PBBM,,
PARTY LIST,GABRIELA,,
PARTY LIST,BFF,,
PARTY LIST,KAMALAYAN,,
PARTY LIST,P3PWD,,
PARTY LIST,TINGOG,,
PARTY LIST,BUNYOG,,
PARTY LIST,AKO TANOD,,
PARTY LIST,MURANG KURYENTE,,
PARTY LIST,APAT-DAPAT,,
PARTY LIST,AGRI,,
PARTY LIST,PROBINSYANO AKO,,
PARTY LIST,BICOL SARO,,
PARTY LIST,AHON MAHIRAP,,
PARTY LIST,SENIOR CITIZENS,,
PARTY LIST,KABABAIHAN,,
PARTY LIST,IPATUPAD,,
PARTY LIST,UGB,,
PARTY LIST,4K,,
PARTY LIST,RAM,,
PARTY LIST,PATROL,,
PARTY LIST,AKBAYAN,,
PARTY LIST,PBP,,
PARTY LIST,ALONA,,
PARTY LIST,JUAN PINOY,,
PARTY LIST,AGIMAT,,
PARTY LIST,ONE COOP,,
PARTY LIST,AKO BICOL,,
PARTY LIST,ARTE,,
PARTY LIST,PHILRECA,,
PARTY LIST,CIBAC,,
PARTY LIST,GP (GALING SA PUSO),,
PARTY LIST,WIFI,,
PARTY LIST,KAPUSO PM,,
PARTY LIST,BH - BAGONG HENERASYON,,
PARTY LIST,KAUNLAD PINOY,,
PARTY LIST,MAAGAP,,
PARTY LIST,ILOCANO DEFENDERS,,
PARTY LIST,1AGILA,,
PARTY LIST,ABP,,
PARTY LIST,UNITED SENIOR CITIZENS,,
PARTY LIST,1-RIDER PARTY-LIST,,
PARTY LIST,EDUAKSYON,,
PARTY LIST,CWS,,
PARTY LIST,EPANAW SAMBAYANAN,,
PARTY LIST,TICTOK,,
PARTY LIST,ANG TINIG NG SENIORS,,
PARTY LIST,LPGMA,,
PARTY LIST,AKO PADAYON,,
PARTY LIST,BAYAN MUNA,,
PARTY LIST,BG PARTY-LIST,,
PARTY LIST,A TEACHER,,
PARTY LIST,TUCP,,
PARTY LIST,ANG PROBINSIYANO,,
PARTY LIST,PINOY AKO,,
PARTY LIST,SWERTE,,
PARTY LIST,ACT TEACHERS,,
PARTY LIST,BANAT,,
PARTY LIST,H.E.L.P. PILIPINAS,,
PARTY LIST,GABAY,,
PARTY LIST,1PACMAN,,
PARTY LIST,SBP,,
PARTY LIST,HEALTH WORKERS,,
PARTY LIST,MALASAKIT@BAYANIHAN,,
PARTY LIST,TGP,,
PARTY LIST,BUHAY,,
PARTY LIST,PEOPLE'S CHAMP,,
PARTY LIST,AKAY NI SOL,,
PARTY LIST,DUMPER PTDA,,
PARTY LIST,TULUNGAN TAYO,,
PARTY LIST,AA-KASOSYO PARTY,,
PARTY LIST,LUNAS,,
PARTY LIST,ANAKALUSUGAN,,
PARTY LIST,SAGIP,,
PARTY LIST,SOLID NORTH PARTY,,
PARTY LIST,DIWA,,
PARTY LIST,AKSYON DAPAT,,
PARTY LIST,BTS BAYANING TSUPER,,
PARTY LIST,ABAMIN,,
PARTY LIST,PINUNO,,
PARTY LIST,BHW,,
PARTY LIST,VENDORS,,
PARTY LIST,TRABAHO,,
PARTY LIST,PAMILYA MUNA,,
PARTY LIST,SULONG DIGNIDAD,,
PARTY LIST,ACT-CIS,,
PARTY LIST,ANGKASANGGA,,
PARTY LIST,BAGONG PILIPINAS,,
PARTY LIST,BATANG QUIAPO,,
PARTY LIST,AKTIBONG KAAGAPAY,,
PARTY LIST,TODA AKSYON,,
PARTY LIST,HUGPONG FEDERAL,,
PARTY LIST,PBA,,
PARTY LIST,ASENSO PINOY,,
PARTY LIST,TURISMO,,
PARTY LIST,TUPAD,,
PARTY LIST,GILAS,,
PARTY LIST,SOLO PARENTS,,
PARTY LIST,ABONO,,
PARTY LIST,LAANG KAWAL,,
PARTY LIST,AKO ILOCANO AKO,,
PARTY LIST,ANG KOMADRONA,,
PARTY LIST,ASAP NA,,
PARTY LIST,PAMILYA KO,,
PARTY LIST,PAMILYANG MAGSASAKA,,
PARTY LIST,PROMDI,,
PARTY LIST,LINGAP,,
PARTY LIST,BBM,,
PARTY LIST,CLICK PARTY,,
PARTY LIST,PUSONG PINOY,,
PARTY LIST,UNITED FRONTLINERS,,
PARTY LIST,HEAL PH,,
PARTY LIST,ABANTE BISDAK,,
PARTY LIST,KUSUG TAUSUG,,
PARTY LIST,KASAMBAHAY,,
PARTY LIST,ABANG LINGKOD,,
PARTY LIST,MANILA TEACHERS,,
PARTY LIST,DAMAYANG FILIPINO,,
PARTY LIST,TUTOK TO WIN,,
PARTY LIST,MAGSASAKA,,
PARTY LIST,PAMANA,,
PARTY LIST,MPBL,,
PARTY LIST,AKO OFW,,
PARTY LIST,MAHARLIKA,,
PARTY LIST,NANAY,,
PARTY LIST,ANGAT,,
PARTY LIST,AGAP,,
PARTY LIST,USWAG ILONGGO,,
PARTY LIST,KM NGAYON NA,,
PARTY LIST,KALINGA,,
PARTY LIST,1TAHANAN,,
HOUSE OF REPRESENTATIVES,"ALAMA, JOHRAM",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
HOUSE OF REPRESENTATIVES,"MALAPITAN, OCA",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
HOUSE OF REPRESENTATIVES,"MALONZO, REY",KNP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
MAYOR,"CAÑETE, RICHARD",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
MAYOR,"MALUNES, RONNIE",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
MAYOR,"VILLANUEVA, DANNY",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
MAYOR,"MALAPITAN, ALONG",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
MAYOR,"TRILLANES, ANTONIO IV",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
VICE-MAYOR,"LUSTRE, DANTE",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
VICE-MAYOR,"TEH, KARINA",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
VICE-MAYOR,"TOBIAS, ROLANDO",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
VICE-MAYOR,"MALONZO, PJ",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
VICE-MAYOR,"TIMBOL, JOSEPH",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ADALEM, TOPET",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DE LEON, TYRONE SR.",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"LIPATA, BUDDY",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PINEDA, EDSAN",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BACOLOD, LEAH",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DOMASIG, ROMAN JR.",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MALAPITAN, ENTENG",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SY, JERICHO",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BARRETTO, MARJORIE",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"FAUSTINO, MINING",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MARGALLO, RICARDO",MKBYN,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"TANPIENGCO, PATRICIO III",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BUNAG, MICKEY",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"HERNANDEZ, VINCE",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MIRAN, GEORGE",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"TOMAS, ANSER",IND,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CARALDE, ALEX",NP,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"LEONARDO, ANGIE",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
SANGGUNIANG PANLUNGSOD,"NUBLA, KAYE",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_1ST_DIST
HOUSE OF REPRESENTATIVES,"CAJAYON-UY, MITCH",LAKAS,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
HOUSE OF REPRESENTATIVES,"ERICE, EGAY",LP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ABEL, JAMES",NP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CELIS, KA RENE",PRP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DIVINA, ARNOLD",NP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"QUIMPO, ATTY. CHARM",LP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ALMEDA, KUYA LANZ",NUP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CUDIAMAT, HARI",IND,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MANGASAR, ALEXANDER",LP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"SIMPAUCO, LEM",LP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ARUELO, KEN DOC ED",LAKAS,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"CUNANAN, CAROL",NP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MERCADO, DRA. MAYEN",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TAM, JENNET",IND,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ASISTIO, CONS",NP,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DE LEON, WEWEL",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"PALICTE, BRO JOE",IND,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TENORIO, JOSEPH",IND,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BALDIVIA, DENNIS",IND,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DEL ROSARIO, FERDIE",IND,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
SANGGUNIANG PANLUNGSOD,"PASPIE, JEFFERSON",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_2ND_DIST
HOUSE OF REPRESENTATIVES,"ASISTIO, DEAN",LAKAS,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"ABEL, WIN",NP,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"DOMINGO, WALASTIK",IND,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"MERCADO, ROSE",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"PRADO, BULLET",NP,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"AFRICA, MAY",NP,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"ECHIVERRI, KING",NP,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"NUBLA, ALOU",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"SACATROPES, CARINA",IND,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"BRIN, ROWEL",AKSYON,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"GABUAY, ALBERT",IND,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"OMIT, JULITA",IND,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"TERITORIO, JESUS",IND,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"CERALDE, TESS",NP,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"HENSON, ONET",NP,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
SANGGUNIANG PANLUNGSOD,"PADILLA, MERLY",IND,BFT_NCR\CITY_OF_CALOOCAN_3RD_DIST
HOUSE OF REPRESENTATIVES,"REDOBLE, CONG LOUIE",KNP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
HOUSE OF REPRESENTATIVES,"SANTOS, MARK ANTHONY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
HOUSE OF REPRESENTATIVES,"TAYAM, BARRY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
HOUSE OF REPRESENTATIVES,"VILLAR, CYNTHIA",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
MAYOR,"ABELLAR, ANTONIO JR.",PM,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
MAYOR,"AGUILAR, CARLO",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
MAYOR,"DUCAT, ARMANDO JR.",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
MAYOR,"RIVERA, REY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
MAYOR,"AGUILAR, APRIL",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
MAYOR,"BARREDO, ROLANDO JR.",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
MAYOR,"MIRANDA, CONRADO",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"AGUILAR, IMELDA",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"ARTETA, PING",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"BUSTAMANTE, LOUIE",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"CHAVEZ, TATAY BEN",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"ANGELES, ED",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"BATALAN, DONG",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"CASIMIRO, LOUIE",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
VICE-MAYOR,"DAVID, CYRIL",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ABELLERA, ZARDI",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CASTILLO, MICHAEL",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"GALLANO, AME",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"RIGUERA, REX",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"AGUILAR, ALBIE",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CHAVEZ, MAR",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"JAMCO, ANGELITO JR.",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ROSALES, MARLON",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"AGUILAR, ALELEE",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CLAVE, JERIC ANTONI VER",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"LLUPAR, RODOLFO",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SANTAMARIA, MIMI",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BALANAG, REY",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CRISTOBAL, KAP. ROBERT",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MATUNDAN, LAURO III",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SANTOS, MAC-MAC",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BAYOG, BRIAN",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"DE LEON, DOC ERIC",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"MEDIDAS, DAVEY PROF",PDPLBN,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SOMEROS, COMBAT",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"BUSTAMANTE, JESS",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"ESMEÑA, LARRY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PEÑA, OSCAR",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"SUÑER, ANGELITA",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"CASTILLO, JINSEI",MKBYN,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"EUSEBIO, LARRY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"PEREZ, LARRY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"TOLENTINO, PEARL",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_1ST_DIST
SANGGUNIANG PANLUNGSOD,"AGUILAR, LORD",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DAYAO, MARLON",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"GREGORIO, ELMER",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ROSALES, ADELIA",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ALVARADO, MICHAELA IRISH",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DECIEMBRE, IRENE",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"HERNANDEZ, DANOK",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"SAITO, MACKY",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ANDAL, AVELINO",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"DELA CRUZ, BERLIN",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MARTINEZ, TITO",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TAN, YOLLY",NP,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"ARANDA, LESTER",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"FIESTA, NOLI",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"MEDINA, HENRY",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TATO, ALEX",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BOYO, JEFF",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"GARCIA, TONY",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"PARUNGAO, EDGARDO",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TORALBALLA, EUAN",NPC,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"BUSTILLO, ADORACION",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"GOCO, ABET",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"PASCUAL, IDOL",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
SANGGUNIANG PANLUNGSOD,"TUGANO, BOK",IND,BFT_NCR\CITY_OF_LAS_PIÑAS_2ND_DIST
